time,Mech_dissip_avg,Mech_dissip_core,Mod_Gruntfest_avg,Mod_Gruntfest_core,RedbackElementAverageValue,elastic_strain_z,max_returnmap_iter,mises_stress,plastic_strain_z,temperature_avg,temperature_core,total_strain_z
35.511,0,0,0,0,-70453978.127558,-0.0036373106520519,0,60453978.129727,0,293.15,293.15,-0.0036373106520519
36.011,0,0,0,0,-71408314.889293,-0.0036886190801013,0,61408314.891405,0,293.15,293.15,-0.0036886190801013
36.511,0,0,0,0,-72362700.619011,-0.0037399301408406,0,62362700.621239,0,293.15,293.15,-0.0037399301408406
37.011,0,0,0,0,-73317135.32181,-0.0037912438345398,0,63317135.324064,0,293.15,293.15,-0.0037912438345398
37.511,0,0,0,0,-74271619.002696,-0.0038425601614694,0,64271619.004965,0,293.15,293.15,-0.0038425601614694
38.011,0,0,0,0,-75226151.666689,-0.0038938791218996,0,65226151.668988,0,293.15,293.15,-0.0038938791218996
38.511,0,0,0,0,-76180733.318875,-0.0039452007160994,0,66180733.320928,0,293.15,293.15,-0.0039452007160994
39.011,0,0,0,0,-77135363.964123,-0.0039965249443429,0,67135363.966465,0,293.15,293.15,-0.0039965249443429
39.511,0,0,0,0,-78090043.607613,-0.0040478518068966,0,68090043.609982,0,293.15,293.15,-0.0040478518068966
40.011,0,0,0,0,-79044772.254334,-0.0040991813040324,0,69044772.25672,0,293.15,293.15,-0.0040991813040324
40.511,0,0,0,0,-79999549.909316,-0.0041505134360206,0,69999549.911698,0,293.15,293.15,-0.0041505134360206
41.011,0,0,0,0,-80954376.57757,-0.0042018482031318,0,70954376.580003,0,293.15,293.15,-0.0042018482031318
41.511,0,0,0,0,-81909252.264153,-0.0042531856056367,0,71909252.266613,0,293.15,293.15,-0.0042531856056367
42.011,0,0,0,0,-82864176.974094,-0.0043045256438058,0,72864176.97657,0,293.15,293.15,-0.0043045256438058
42.511,0,0,0,0,-83819150.71242,-0.0043558683179097,0,73819150.714923,0,293.15,293.15,-0.0043558683179097
43.011,0,0,0,0,-84774173.484462,-0.0044072136282227,0,74774173.486176,0,293.15,293.15,-0.0044072136282227
43.511,0,0,0,0,-85729245.294379,-0.004458561575005,0,75729245.29693,0,293.15,293.15,-0.004458561575005
44.011,0,0,0,0,-86684366.145078,-0.004509912158363,0,76684366.146774,0,293.15,293.15,-0.004509912158363
44.511,0,0,0,0,-87639536.050322,-0.0045612653790886,0,77639536.052912,0,293.15,293.15,-0.0045612653790886
45.011,0,0,0,0,-88594755.006128,-0.004612621236928,0,78594755.008747,0,293.15,293.15,-0.004612621236928
45.511,0,0,0,0,-89550023.020542,-0.004663979732327,0,79550023.023182,0,293.15,293.15,-0.004663979732327
46.011,0,0,0,0,-90505340.098601,-0.0047153408655563,0,80505340.101266,0,293.15,293.15,-0.0047153408655563
46.511,0,0,0,0,-91460706.245348,-0.0047667046368872,0,81460706.248038,0,293.15,293.15,-0.0047667046368872
47.011,0,0,0,0,-92416121.465822,-0.0048180710465903,0,82416121.468528,0,293.15,293.15,-0.0048180710465903
47.511,0,0,0,0,-93371585.765105,-0.0048694400949371,0,83371585.767698,0,293.15,293.15,-0.0048694400949371
48.011,0,0,0,0,-94327099.148123,-0.0049208117821986,0,84327099.150876,0,293.15,293.15,-0.0049208117821986
48.511,0,0,0,0,-95282661.620036,-0.004972186108646,0,85282661.622819,0,293.15,293.15,-0.004972186108646
49.011,0,0,0,0,-96238273.185828,-0.0050235630745486,0,86238273.188597,0,293.15,293.15,-0.0050235630745486
49.511,0,0,0,0,-97193933.850619,-0.0050749426801833,0,87193933.853439,0,293.15,293.15,-0.0050749426801833
50.011,0,0,0,0,-98149643.619372,-0.0051263249258156,0,88149643.622218,0,293.15,293.15,-0.0051263249258156
50.511,0,0,0,0,-99105402.497165,-0.0051777098117186,0,89105402.500027,0,293.15,293.15,-0.0051777098117186
51.011,0,0,0,0,-100061210.48903,-0.0052290973381637,0,90061210.491932,0,293.15,293.15,-0.0052290973381637
51.511,0,0,0,0,-101017067.60004,-0.0052804875054226,0,91017067.602962,0,293.15,293.15,-0.0052804875054226
52.011,0,0,0,0,-101972973.83524,-0.0053318803137666,0,91972973.838176,0,293.15,293.15,-0.0053318803137666
52.511,0,0,0,0,-102928929.19966,-0.0053832757634671,0,92928929.202619,0,293.15,293.15,-0.0053832757634671
53.011,0,0,0,0,-103884933.69839,-0.0054346738547956,0,93884933.701275,0,293.15,293.15,-0.0054346738547956
53.511,0,0,0,0,-104840987.3364,-0.0054860745880237,0,94840987.339407,0,293.15,293.15,-0.0054860745880237
54.011,0,0,0,0,-105797090.11882,-0.0055374779634229,0,95797090.121847,0,293.15,293.15,-0.0055374779634229
54.511,0,0,0,0,-106753242.05067,-0.005588883981265,0,96753242.053729,0,293.15,293.15,-0.005588883981265
55.011,0,0,0,0,-107709443.13701,-0.0056402926418213,0,97709443.140091,0,293.15,293.15,-0.0056402926418213
55.511,0,0,0,0,-108665693.3829,-0.0056917039453639,0,98665693.386001,0,293.15,293.15,-0.0056917039453639
56.011,0,0,0,0,-109621992.79347,-0.005743117892166,0,99621992.796378,0,293.15,293.15,-0.005743117892166
56.511,0,0,0,0,-110578341.37353,-0.0057945344824953,0,100578341.37668,0,293.15,293.15,-0.0057945344824953
57.011,0,0,0,0,-111534739.12838,-0.0058459537166275,0,101534739.13155,0,293.15,293.15,-0.0058459537166275
57.511,0,0,0,0,-112491186.06301,-0.0058973755948333,0,102491186.06619,0,293.15,293.15,-0.0058973755948333
58.011,0,0,0,0,-113447682.18245,-0.0059488001173846,0,103447682.18567,0,293.15,293.15,-0.0059488001173846
58.511,0,0,0,0,-114404227.49179,-0.0060002272845534,0,104404227.49502,0,293.15,293.15,-0.0060002272845534
59.011,0,0,0,0,-115360821.99609,-0.0060516570966117,0,105360821.99926,0,293.15,293.15,-0.0060516570966117
59.511,0,0,0,0,-116317465.70035,-0.0061030895538317,0,106317465.70364,0,293.15,293.15,-0.0061030895538317
60.011,0,0,0,0,-117274158.60972,-0.0061545246564852,0,107274158.61296,0,293.15,293.15,-0.0061545246564852
60.511,0,0,0,0,-118230900.72919,-0.0062059624048452,0,108230900.73252,0,293.15,293.15,-0.0062059624048452
61.011,0,0,0,0,-119187692.06386,-0.006257402799183,0,109187692.06722,0,293.15,293.15,-0.006257402799183
61.511,0,0,0,0,-120144532.61761,-0.0063088458397004,0,110144532.62054,0,293.15,293.15,-0.0063088458397004
62.011,0,0,0,0,-121101422.39905,-0.0063602915268815,0,111101422.40244,0,293.15,293.15,-0.0063602915268815
62.511,0,0,0,0,-122058361.40971,-0.0064117398607868,0,112058361.41302,0,293.15,293.15,-0.0064117398607868
63.011,0,0,0.0086911217188139,0.0086911217112304,-123015349.65576,-0.0064631908417592,0,113015349.6592,0,293.15,293.15,-0.0064631908417592
63.511,0.51534051038537,0.51534063335296,0.20440073138284,0.20440073140075,-123972369.50926,-0.0065146435220485,1,113972369.51227,-9.480229869436e-10,293.15003591338,293.15010100364,-0.0065146444700715
64.011,2.3342665181884,2.3342690396922,0.92586622118417,0.92586622092958,-124929377.0356,-0.0065660955396008,1,114929377.03909,-5.2063945223061e-09,293.15016267979,293.15045752987,-0.0065661007459953
64.511,6.3743101899841,6.3743289941347,2.528367692117,2.5283676904249,-125886298.513,-0.0066175429308617,1,115886298.51667,-1.6738942344872e-08,293.15044425243,293.1512494502,-0.006617559669804
65.011,13.558085774098,13.558170838919,5.3779169968234,5.377916985565,-126843031.23693,-0.0066689801740817,1,116843031.24047,-4.1067688327946e-08,293.15094494218,293.15265764552,-0.00666902124177
65.511,24.83377925952,24.834064600426,9.8506862443026,9.8506861846838,-127799443.6135,-0.0067204001943278,1,117799443.61706,-8.5267837938961e-08,293.15173084265,293.15486801285,-0.0067204854621657
66.011,41.173244043042,41.174028191833,16.332242198943,16.332241951188,-128755375.30953,-0.0067717943715339,1,118755375.31311,-1.5795972982982e-07,293.15286970026,293.15807110317,-0.0067719523312638
66.511,63.569593787866,63.571462401092,25.216577798227,25.216576945686,-129710637.47109,-0.0068231525522632,1,119710637.47469,-2.6929707334326e-07,293.15443074708,293.16246165341,-0.0068234218493365
67.011,93.03427505848,93.038275587003,36.904933722898,36.904931188012,-130665013.02354,-0.0068744630658366,1,120665013.02717,-4.3095082042556e-07,293.15648449857,293.16823802082,-0.006874894016657
67.511,130.59360753221,130.60148597871,51.804405087748,51.804398373274,-131618257.06442,-0.0069257127454537,1,121618257.06807,-6.5608804399178e-07,293.15910251436,293.17560151405,-0.0069263688334977
68.011,177.28478577957,177.29929536924,70.326330858988,70.326314661383,-132570097.36018,-0.0069768869549036,1,122570097.36385,-9.5934522806364e-07,293.16235712184,293.1847556201,-0.0069778463001317
68.511,234.15134377944,234.17663481601,92.884466547835,92.884430378049,-133520234.95728,-0.0070279696214148,1,123520234.96098,-1.3567954167717e-06,293.16632110253,293.19590512732,-0.0070293264168316
69.011,233.66742529952,233.69257181365,92.692504072398,92.692451504094,-133512857.22127,-0.0070275729689412,1,123512857.22497,-1.7534478903856e-06,293.16628820415,293.19581313697,-0.0070293264168316
69.511,176.18147696552,176.19572033795,69.888660054871,69.888608990645,-132549720.63843,-0.006975791432229,1,122549720.64211,-2.0548679025089e-06,293.1622817295,293.18454455251,-0.0069778463001316
70.011,129.2698257213,129.2774504636,51.279271528042,51.279226824505,-131588093.62613,-0.0069240910552233,1,121588093.62978,-2.2777782742731e-06,293.15901146717,293.17534622936,-0.0069263688334976
70.511,91.73616326427,91.739967306978,36.38998342928,36.389946705403,-130627696.30949,-0.0068724567908874,1,120627696.31312,-2.4372257692459e-06,293.1563949874,293.16798689302,-0.0068748940166567
71.011,62.433801245289,62.43553369416,24.76602126117,24.76599252247,-129668279.40297,-0.0068208752367731,1,119668279.40658,-2.5466125629912e-06,293.1543523287,293.16224158236,-0.0068234218493361
71.511,40.260930083533,40.261626500826,15.970341673524,15.97032019408,-128709623.74714,-0.0067693346101154,1,118709623.75073,-2.6177211480668e-06,293.15280666816,293.15789418403,-0.0067719523312635
72.011,24.1565968805,24.156828692559,9.582063343141,9.5820481109671,-127751539.95195,-0.006717824728653,1,117751539.95551,-2.6607335126703e-06,293.15168403863,293.15473663193,-0.0067204854621656
72.511,13.097345643487,13.097399670701,5.1951557380625,5.1951456592484,-126793868.13157,-0.0066663369963745,1,116793868.13511,-2.6842453954979e-06,293.15091309229,293.15256823809,-0.00666902124177
73.011,6.0944691897337,6.0944712151709,2.4173662270014,2.4173602075256,-125836477.7165,-0.0066148643934132,1,115836477.72002,-2.6952763909273e-06,293.15042490733,293.15119514548,-0.0066175596698041
73.511,2.1918281695925,2.1918227622437,0.869368302925,0.86936527553762,-124879267.32869,-0.006563401469337,1,114879267.33218,-2.6992766582011e-06,293.15015283461,293.15042989385,-0.0065661007459952
74.011,0.46419739369124,0.46419479668156,0.18411549557804,0.18411442591404,-123922164.70622,-0.0065119443390965,1,113922164.70969,-2.7001309743802e-06,293.15003238126,293.15009109067,-0.0065146444700709
74.511,-4.6191954895989e-13,-4.6647349873922e-13,0.0063869290548338,0.0063868158992139,-122965127.21956,-0.0064604907107843,0,112965127.22322,-2.7001309743802e-06,293.15000000671,293.15000002325,-0.0064631908417587
75.011,-4.5952684261485e-13,-4.6260731656662e-13,0,0,-122008138.97354,-0.006409039729812,0,112008138.97697,-2.7001309743802e-06,293.15,293.15000000001,-0.0064117398607864
75.511,-4.5698943548808e-13,-4.5874305465417e-13,0,0,-121051199.96291,-0.0063575913959066,0,111051199.96631,-2.7001309743802e-06,293.15,293.15,-0.006360291526881
76.011,3.0439408085398e-14,2.7089153437992e-14,0,0,-120094310.18266,-0.0063061457087962,0,110094310.18604,-2.7001309743802e-06,293.15,293.15,-0.0063088458397706
76.511,2.7453960631757e-14,2.0199740557736e-14,0,0,-119137469.62774,-0.0062547026682084,0,109137469.63109,-2.7001309743802e-06,293.15,293.15,-0.0062574027991827
77.011,2.5216048816685e-14,2.0199688111409e-14,0,0,-118180678.29306,-0.0062032622738707,0,108180678.29639,-2.7001309743802e-06,293.15,293.15,-0.0062059624048451
77.511,2.2995525581704e-14,2.0199827126668e-14,0,0,-117223936.17358,-0.0061518245255111,0,107223936.17689,-2.7001309743802e-06,293.15,293.15,-0.0061545246564855
78.011,2.2189550036468e-14,2.0199972713879e-14,0,0,-116267243.26423,-0.0061003894228573,0,106267243.26751,-2.7001309743802e-06,293.15,293.15,-0.0061030895538317
78.511,2.0444865607423e-14,2.0199543291726e-14,0,0,-115310599.55994,-0.0060489569656374,0,105310599.5632,-2.7001309743802e-06,293.15,293.15,-0.0060516570966118
79.011,1.7848554146095e-14,1.60687300895e-14,0,0,-114354005.05566,-0.0059975271535791,0,104354005.0589,-2.7001309743802e-06,293.15,293.15,-0.0060002272845535
79.511,1.5858044650007e-14,1.0099859089281e-14,0,0,-113397459.74633,-0.0059460999864102,0,103397459.74954,-2.7001309743802e-06,293.15,293.15,-0.0059488001173846
80.011,1.4430080941061e-14,1.0099882150088e-14,0,0,-112440963.62688,-0.0058946754638588,0,102440963.63007,-2.7001309743802e-06,293.15,293.15,-0.0058973755948331
80.511,-4.4725427682857e-13,-4.5039203726619e-13,0,0,-111484516.69226,-0.0058432535856531,0,101484516.69543,-2.7001309743802e-06,293.15,293.15,-0.0058459537166274
81.011,1.1784662640856e-14,1.0100102518506e-14,0,0,-110528118.93741,-0.0057918343515208,0,100528118.94055,-2.7001309743802e-06,293.15,293.15,-0.0057945344824952
81.511,9.743596898085e-15,5.0497316451679e-15,0,0,-109571770.35726,-0.0057404177611903,0,99571770.360392,-2.7001309743802e-06,293.15,293.15,-0.0057431178921647
82.011,-4.3182688491256e-13,-4.3880123186411e-13,0,0,-108615470.94678,-0.0056890038143898,0,98615470.94988,-2.7001309743802e-06,293.15,293.15,-0.0056917039453641
82.511,-4.3011622795134e-13,-4.3494336464621e-13,0,0,-107659220.70089,-0.0056375925108472,0,97659220.70398,-2.7001309743802e-06,293.15,293.15,-0.0056402926418216
83.011,-4.2795170637864e-13,-4.3107010165738e-13,0,0,-106703019.61456,-0.0055861838502909,0,96703019.617609,-2.7001309743802e-06,293.15,293.15,-0.0055888839812653
83.511,1.8570064267801e-15,-1.6378207836546e-20,0,0,-105746867.6827,-0.0055347778324488,0,95746867.685732,-2.7001309743802e-06,293.15,293.15,-0.0055374779634232
