time,Mech_dissip_avg,Mech_dissip_core,Mod_Gruntfest_avg,Mod_Gruntfest_core,elastic_strain_z,max_returnmap_iter,mises_stress,plastic_strain_z,temperature_avg,temperature_core,total_strain_z
44,0,0,0,0,-0.0044972813961306,0,71142641.922389,0,293.15,293.15,-0.0044972813961306
46.5,0,0,0,0,-0.0047534169989756,0,75604524.123916,0,293.15,293.15,-0.0047534169989756
49,0,0,0,0,-0.0050096182240705,0,80067549.465266,0,293.15,293.15,-0.0050096182240705
51.5,0,0,0,0,-0.0052658851050487,0,84531718.532012,0,293.15,293.15,-0.0052658851050487
54,0,0,0,0,-0.0055222176755699,0,88997031.910549,0,293.15,293.15,-0.0055222176755699
56.5,0,0,0,0,-0.0057786159693195,0,93463490.187749,0,293.15,293.15,-0.0057786159693195
59,0,0,0,0,-0.0060350800200088,0,97931093.950907,0,293.15,293.15,-0.0060350800200088
61.5,0,0,0,0,-0.006291609861375,0,102399843.7876,0,293.15,293.15,-0.006291609861375
63.285714285714,0,0,0,0,-0.0064748857689425,0,105592510.09749,0,293.15,293.15,-0.0064748857689425
64.561224489796,0,0,0,0,-0.0066058177027576,0,107873344.38457,0,293.15,293.15,-0.0066058177027576
65.472303206997,0,0,0,0,-0.0066058177027576,0,107873344.38457,0,293.15,293.15,-0.0066058177027576
66,0,0,0,0,-0.0067535295012014,0,110446483.9135,0,293.15,293.15,-0.0067535295012014
66.5,0,0,0,0,-0.0067535295012014,0,110446483.9135,0,293.15,293.15,-0.0067535295012014
67,0,0,0,0,-0.0067535295012014,0,110446483.9135,0,293.15,293.15,-0.0067535295012014
67.5,0,0,0.015857845602087,0.015857845601539,-0.0069075501424464,0,113129523.48404,0,293.15,293.15,-0.0069075501424464
68,0,0,0.015857845602087,0.015857845601539,-0.0069075501424464,0,113129523.48404,0,293.15,293.15,-0.0069075501424464
68.5,0,0,0.015857845602087,0.015857845601539,-0.0069075501424464,0,113129523.48404,0,293.15,293.15,-0.0069075501424464
69,5.9629441673194,5.9629657774847,2.3657562305753,2.365756229312,-0.0070615837145602,1,115812788.31034,-1.0795142691003e-08,293.15043012301,293.15107924125,-0.0070615945097029
69.5,12.306155187285,12.306247224613,4.8824791453729,4.8824791333792,-0.0071129150041213,1,116706979.37491,-3.2903156178146e-08,293.15088776767,293.15222759323,-0.0071129479072775
70,22.103510599442,22.103807501649,8.7697535343286,8.7697534853297,-0.0071642316318778,1,117600915.02972,-7.2310278083226e-08,293.15159457767,293.15400114589,-0.0071643039421559
70.5,36.145079396267,36.145873166424,14.341106333703,14.341106128533,-0.0072155263492269,1,118494469.00596,-1.362653904069e-07,293.15260759322,293.15654305563,-0.0072156626146173
71,55.237614222991,55.23946734208,21.916681608621,21.916680842537,-0.0072667906531662,1,119387493.18078,-2.3327175772301e-07,293.15398502608,293.15999940321,-0.0072670239249239
71.5,80.202560439818,80.20646539034,31.822438486063,31.822436156755,-0.0073180147975828,1,120279817.77714,-3.7307576945829e-07,293.15578615125,293.16451894272,-0.0073183878733522
72,111.87371156917,111.88130562495,44.389206221437,44.389200115587,-0.0073691878079085,1,121171251.6165,-5.666522612805e-07,293.15807114151,293.17025269278,-0.0073697544601698
72.5,151.09450637693,151.10835058114,59.951594485381,59.951580157893,-0.0074202974996414,1,122061582.44666,-8.2618601032575e-07,293.16090086806,293.17735343511,-0.0074211236856517
73,198.71496574264,198.738894176,78.846758159522,78.8467263219,-0.0074713305010418,1,122950577.33063,-1.1650490216821e-06,293.16433669077,293.1859751934,-0.0074724955500635
73.5,255.58827353626,255.62782657541,101.4130184145,101.41295272045,-0.0075222722804258,1,123837983.1276,-1.597773254063e-06,293.1684402043,293.19627259919,-0.0075238700536799
74,322.56700887643,322.62994853749,127.98834315253,127.98821442026,-0.0075731071783045,1,124723527.04857,-2.1400184654975e-06,293.17327297302,293.20840023114,-0.00757524719677
74.5,400.49904441366,400.59596331327,158.90869287739,158.9084514993,-0.0076238184447117,1,125606917.30973,-2.808534901482e-06,293.17889623616,293.22251187789,-0.0076266269796132
75,490.22312931535,490.36815532094,194.50623973221,194.50580476823,-0.0076743882818731,1,126487843.87336,-3.6211205924451e-06,293.18537059137,293.23875975038,-0.0076780094024655
75.5,592.56418346066,592.77578562436,235.10747064648,235.10671613067,-0.0077247978925352,1,127365979.29124,-4.5965730802914e-06,293.19275565776,293.25729363787,-0.0077293944656155
76,708.32833373897,708.6302126829,281.03118736747,281.02991823235,-0.0077750275338616,1,128240979.64162,-5.7546354490934e-06,293.20110971966,293.27826002184,-0.0077807821693107
76.5,838.29773291799,838.7198151961,332.58642003122,332.58434538251,-0.0078250565772531,1,129112485.57869,-7.1159366005533e-06,293.21048935592,293.3018011456,-0.0078321725138536
77,983.2252004804,983.80471552879,390.07027060606,390.06696688326,-0.0078748635737207,1,129980123.45718,-8.7019257734389e-06,293.22094905295,293.32805405319,-0.0078835654994941
77.5,1143.8287437494,1144.6113707256,453.76571009583,453.76057124328,-0.0079244263251203,1,130843506.58657,-1.0534801388981e-05,293.23254081426,293.35714960741,-0.0079349611265093
78,1320.7860082048,1321.8270879768,523.93934975369,523.93152592875,-0.0079737219608042,1,131702236.5602,-1.2637434366395e-05,293.24531375958,293.38921149009,-0.0079863593951706
78.5,1514.7287224434,1516.0945116119,600.83921313729,600.82753350112,-0.0080227270196148,1,132555904.6847,-1.5033286135021e-05,293.25931372556,293.42435520178,-0.0080377603057499
79,1726.2372021324,1728.0061488161,684.69253544254,684.67541305949,-0.0080714175368743,1,133404093.49538,-1.7746321644311e-05,293.27458286972,293.46268706948,-0.0080891638585186
79.5,1955.8955185902,1958.1598183253,775.70343269733,775.6787483634,-0.0081197690414162,2,134246376.70452,-2.0801012332065e-05,293.29116365646,293.50431426082,-0.0081405700537483
80,2204.0624565196,2206.9285750206,874.051307565,874.01627267684,-0.0081677569072864,2,135082325.32799,-2.4221984424446e-05,293.30908231203,293.54930322643,-0.0081919788917109
80.5,2471.1793959549,2474.7698876149,979.88849834662,979.83949132472,-0.0082153562186503,2,135911505.33197,-2.8034154027532e-05,293.32837106002,293.59773554709,-0.0082433903726778
81,2757.5704409774,2762.0248462401,1093.3385954181,1093.2709715985,-0.0082625419444091,2,136733480.67471,-3.2262552512017e-05,293.34905368701,293.64967167938,-0.0082948044969211
81.5,3063.4842403339,3068.9600447178,1214.4948120454,1214.4026850009,-0.0083092890429901,2,137547815.13202,-3.6932221722341e-05,293.37114855759,293.70515852262,-0.0083462212647125
82,3389.0903366445,3395.7637659066,1343.4185560554,1343.2945492203,-0.0083555725688302,2,138354074.15219,-4.2068107493482e-05,293.39466834783,293.7642287442,-0.0083976406763237
