time,Gruntfest_number,mises_strain,mises_stress,strain_rate,temp_centre
0.058594407747928,2.2688337769631,2.4276078476407e-07,0.15570719962061,0.018292654931443,0.52586779690338
0.058807055585163,1.8324483343801,7.1011613814887e-07,0.14045921533375,0.043554537771687,0.80624804379724
0.05904096820612,1.6860915978504,2.6351643296236e-06,0.13494546418421,0.14074132632787,1.2986867994451
0.059251489564982,1.6860744215822,5.9318501225015e-06,0.13494488302576,0.35202797528277,1.8855106187899
0.059440958787958,1.6465146125771,1.031313897147e-05,0.1334134974015,0.67170667778836,2.5316896904403
0.059611481088636,1.5037346815203,1.4632063515499e-05,0.12772795266741,1.010107446348,3.1766789222636
0.059764951159247,1.3045977238883,1.7905680018425e-05,0.11932723288279,1.2754394092797,3.7624280875488
0.059903074222796,1.1009506672332,1.9825292751078e-05,0.11004386532362,1.4358539221682,4.2590899094306
0.060027384979991,0.91966927902432,2.056087414609e-05,0.1010281084613,1.5054874461251,4.6630212063832
0.060164126812904,0.73818097155854,2.5412397837052e-05,0.091061245126586,1.5063609538159,5.0444105962831
0.06031454282911,0.57033869203829,3.06728413078e-05,0.080684598728382,1.4413158241647,5.3869661483853
0.060480000446935,0.425394219459,3.6262915596909e-05,0.070412278580878,1.323970841907,5.6809145056431
0.060628912302979,0.32484663688915,3.4222404236575e-05,0.062213045159515,1.199885148041,5.8893629410976
0.060762932973418,0.25443585272259,3.1819326854351e-05,0.055687833621685,1.0846781335075,6.0398728788294
0.0609103557109,0.19538967401724,3.5964086271622e-05,0.04948395689613,0.96318121662008,6.1701830862644
0.061072520722131,0.14739651532471,4.0458476845229e-05,0.043715803936795,0.84114385665469,6.2813638942443
0.061250902234485,0.10950686275717,4.5336091219568e-05,0.038466914314297,0.72347009302932,6.3753905521472
0.061447121898075,0.080380348742428,5.0640642030944e-05,0.033788571355096,0.61392107404142,6.454802289359
0.061662963528024,0.058515402148853,5.6426253930502e-05,0.029701032842403,0.51501993658,6.5223898341681
0.061900389320967,0.042435109674559,6.2757784302016e-05,0.026197728454805,0.42813859946559,6.5809610480889
0.062161557693205,0.030809531901081,6.9711432037394e-05,0.023250789745197,0.35368550437327,6.6331970156522
0.062448842902666,0.022523353623665,7.7375977363569e-05,0.020818706993979,0.29138136236139,6.6815993825551
0.062764856633074,0.016692920669196,8.5854844618964e-05,0.018853815342426,0.24053827153478,6.7285053890666
0.063112471736522,0.012657227168159,9.5269198869246e-05,0.01731145053252,0.20037963970044,6.7761511405079
0.063494848350315,0.0099016149531659,0.00010576057691414,0.01613624530942,0.16971981328647,6.8266627871743
0.063915462625488,0.0080346916964651,0.00011749412685052,0.01526386109488,0.14703978916259,6.8820733404138
0.064378138328178,0.0067861132783232,0.00013066337613696,0.014636446927878,0.1309367367142,6.9444015309561
0.064887081601136,0.005965966200004,0.00014549491362015,0.014201068263668,0.12009854319523,7.0156739746174
0.065446919201391,0.0054344111605075,0.00016225239754387,0.013907531168191,0.11324822528563,7.097891362683
0.066062740561671,0.0050855977934495,0.00018123929646439,0.013709533678425,0.10917343711364,7.1929434232299
0.066740144057979,0.0048445927140965,0.00020280037416937,0.013570059687364,0.10688010490584,7.3025044751734
0.067485287903918,0.0046569708004475,0.00022732132204528,0.013459887689123,0.10555093391962,7.4279088391075
0.068304946134451,0.0044933520871206,0.00025522842512123,0.013362625798015,0.10470675594427,7.5700740376284
0.069206570188037,0.0043420635468257,0.00028698547314002,0.013271675901313,0.10413686822882,7.7293912423332
0.070198356646982,0.0041977038202323,0.00032308938296921,0.013183948798779,0.10372184686953,7.9056339856696
0.071289321751821,0.0040502139699751,0.00036406293224043,0.01309333733936,0.10322677371703,8.0978523054117
0.072489383367144,0.0038866566318869,0.0004104464024356,0.012991653829977,0.10232072148575,8.3043192168848
0.073809451144,0.0037164617595442,0.00046279667881853,0.012884451934444,0.10112455153986,8.5226610408983
0.075261525698541,0.0035483071093803,0.00052168514468336,0.012777084251763,0.099771827580913,8.7499717392227
0.076858807708536,0.0033909308795599,0.00058769859619842,0.012675238265592,0.098431680947751,8.9829593008189
0.07861581791953,0.0032456177606757,0.00066143692188814,0.012579983914455,0.097124905108417,9.2180190203255
0.080548529151624,0.0031100043491657,0.00074351291268704,0.01248999496189,0.095789859033248,9.4513506916543
0.082674511506928,0.0029829217052328,0.00083455730686373,0.012404674005184,0.094395711038059,9.6791360875622
0.084587895626701,0.0028780133960847,0.00076292332563547,0.012333493077366,0.093043257009298,9.862260199731
0.086309941334497,0.0027963326975078,0.00069510510784815,0.012277589989149,0.091935038096159,10.010632293548
0.087859782471513,0.0027347558330401,0.00063174106985,0.012235160604694,0.091108817396913,10.1318691282
0.089254639494828,0.0026876617975408,0.00057307350100354,0.012202541899704,0.090490833796875,10.231751448394
0.090510010815811,0.0026509731612852,0.00051910274952723,0.012177027544919,0.090021211025212,10.314682165524
0.091890919268892,0.0026161405081671,0.00057467531355227,0.012152719672988,0.0895869922633,10.398127964141
0.093409918567282,0.0025832330795516,0.00063612548851596,0.012129679182408,0.089186527259209,10.481312863188

